day,maximum_fare,minimum_fare,avg_fare,std_dev_fare,rides
2014-01-19,110370.00,0.00,1065.86,971.11,75963
2014-01-20,900136.00,0.00,1309.26,7837.47,56739
2014-01-21,900068.00,0.00,1221.68,7893.31,67994
2014-01-22,77341.00,0.00,1087.46,1142.88,74808
2014-01-23,900054.00,0.00,1258.54,9726.36,84396
2014-01-24,446666.00,0.00,1053.66,1714.71,96680
2014-01-25,888888.00,0.00,1027.00,4432.62,93863
2014-01-26,54416.00,0.00,1131.31,989.29,68568
2014-01-27,882912.00,0.00,1232.23,6493.05,64337
2014-01-28,900062.00,0.00,1132.09,5426.75,65867
2014-01-29,520014.00,0.00,1138.69,3167.81,73801
2014-01-30,900056.00,0.00,1152.37,5180.63,77432
2014-01-31,790038.00,0.00,1143.11,4316.90,92179
2014-02-01,150001.00,0.00,985.98,987.71,84713
2014-02-02,900178.00,0.00,1270.00,10469.60,70663
2014-02-03,900336.00,0.00,1309.58,8179.56,68563
2014-02-04,800080.00,0.00,1144.70,4821.57,69812
2014-02-05,700066.00,0.00,1180.42,5975.11,69679
2014-02-06,928971.00,0.00,1178.30,5875.43,88224
2014-02-07,900087.00,0.00,1147.35,5020.48,101344
2014-02-08,504239.00,0.00,1014.67,1969.74,95473
2014-02-09,880021.00,0.00,1182.79,3948.14,70341
2014-02-10,500354.00,0.00,1205.18,3458.30,71416
2014-02-11,666564.00,0.00,1126.14,2692.39,74955
2014-02-12,80000.00,0.00,1138.79,1149.95,76463
2014-02-13,900056.00,0.00,1175.73,6131.59,83117
2014-02-14,900090.00,0.00,1173.03,6122.70,103129
2014-02-15,730035.00,0.00,1087.24,5600.89,102311
2014-02-16,982504.00,0.00,1137.79,4517.37,79792
2014-02-17,650038.00,0.00,1278.25,5653.42,55573
2014-02-18,900362.00,0.00,1447.65,11409.44,70969
2014-02-19,800384.00,0.00,1266.66,6452.82,75921
2014-02-20,800052.00,0.00,1117.86,2992.60,91702
2014-02-21,800046.00,0.00,1145.28,3289.87,105706
2014-02-22,36015.00,0.00,1049.34,848.78,100849
2014-02-23,78999.00,0.00,1192.55,1098.98,75912
2014-02-24,700204.00,0.00,1248.06,4297.08,69161
2014-02-25,560020.00,0.00,1145.06,2798.59,74817
2014-02-26,982504.00,0.00,1250.40,8659.92,82936
2014-02-27,542504.00,0.00,1133.70,2170.78,90649
2014-02-28,900400.00,0.00,1203.68,7736.37,101473
2014-03-01,140103.00,0.00,1040.42,948.37,101036
2014-03-02,700048.00,0.00,1219.51,3383.66,78271
2014-03-03,430033.00,0.00,1213.15,2389.49,73421
2014-03-04,314883.00,0.00,1161.07,1882.81,77257
2014-03-05,99725.00,0.00,1155.00,1180.00,79855
2014-03-06,800080.00,0.00,1231.68,5677.45,86071
2014-03-07,99999.00,0.00,1155.55,1114.75,93965
2014-03-08,320010.00,0.00,1050.83,1681.30,99595
2014-03-09,900098.00,0.00,1433.25,11651.97,74449
2014-03-10,200116.00,0.00,1288.84,1509.07,68953
2014-03-11,800112.00,0.00,1226.60,5004.78,76179
2014-03-12,900274.00,0.00,1163.19,3736.03,83905
2014-03-13,60208.00,0.00,1223.77,1109.69,94154
2014-03-14,440012.00,0.00,1197.78,1914.37,109959
2014-03-15,900102.00,0.00,1122.90,5067.68,150797
2014-03-16,880039.00,0.00,1313.58,7165.00,93701
2014-03-17,700364.00,0.00,1272.93,2732.95,84767
2014-03-18,800080.00,0.00,1281.37,3473.84,81334
2014-03-19,130005.00,0.00,1212.73,1238.77,86133
2014-03-20,900064.00,0.00,1259.69,6081.77,91192
2014-03-21,800665.00,0.00,1159.30,2977.02,102682
2014-03-22,700106.00,0.00,1061.02,2470.68,102193
2014-03-23,990041.00,0.00,1255.87,6480.91,87367
2014-03-24,920039.00,0.00,1351.97,6301.45,76892
2014-03-25,400102.00,0.00,1182.12,1784.75,79264
2014-03-26,800202.00,0.00,1251.01,5329.18,82467
2014-03-27,200007.00,0.00,1208.18,1366.06,91475
2014-03-28,900056.00,0.00,1168.07,3724.16,103547
2014-03-29,840465.00,0.00,1077.92,2810.99,101788
2014-03-30,500114.00,0.00,1291.61,3806.43,84634
2014-03-31,43005.00,0.00,1307.12,1172.82,72751
2014-04-01,90000.00,0.00,1198.48,1180.96,79601
2014-04-02,700092.00,0.00,1269.14,3562.18,81162
2014-04-03,800110.00,0.00,1211.71,5122.45,96449
2014-04-04,900052.00,0.00,1186.94,4859.43,114655
2014-04-05,120006.00,0.00,1073.18,1130.37,109188
2014-04-06,80000.00,0.00,1241.45,1150.17,87812
2014-04-07,800712.00,0.00,1331.66,3979.01,75423
2014-04-08,230010.00,0.00,1237.00,1551.78,80754
2014-04-09,48000.00,0.00,1253.93,1158.93,87607
2014-04-10,800068.00,0.00,1281.87,3119.45,91101
2014-04-11,156180.00,0.00,1215.59,1295.21,98972
2014-04-12,324442.00,0.00,1090.31,1410.74,98687
2014-04-13,846666.00,0.00,1245.09,3557.10,82115
2014-04-14,990042.00,0.00,1349.25,7292.60,79294
2014-04-15,800204.00,0.00,1203.15,5355.71,83595
2014-04-16,910044.00,0.00,1227.32,5226.96,86021
2014-04-17,600358.00,0.00,1264.89,2688.33,89814
2014-04-18,900184.00,0.00,1230.22,8608.08,97573
2014-04-19,900068.00,0.00,1137.64,7813.96,88123
2014-04-20,461614.00,0.00,1264.33,2868.06,63024
2014-04-21,700224.00,0.00,1337.69,2954.46,69232
2014-04-22,800056.00,0.00,1281.55,5739.81,78883
